Time step      Output time step      Final time       Number of bodies            Theta
1.000000E-04   1.000000E-02          1.000000E+01          2500               1.000000E+00

  Body         Mass           x           y           z          vx          vy          vz
     1         3.7729E-04  9.2108E-01 -7.8668E-01 -9.8975E-01  5.1910E-01  8.4756E-01 -2.3510E-01
     2         9.3845E-05 -8.6732E-01  6.8484E-01 -6.1694E-01 -5.1876E-01 -7.0142E-01 -9.8637E-01
     3         7.9338E-04 -6.8603E-01 -5.6598E-01  7.0249E-01 -3.0501E-01  2.3830E-01  6.1677E-01
     4         7.3458E-04 -7.6300E-01  9.3193E-01 -7.6476E-01  6.2511E-01 -3.3261E-01  1.7628E-02
     5         5.0571E-04  1.7691E-01 -5.7114E-01  2.4019E-01  5.3841E-01  7.6612E-02 -4.0991E-01
     6         3.8593E-04  5.7646E-01  2.2897E-01 -9.7271E-01 -5.6920E-01  5.4911E-01  7.1823E-01
     7         6.3131E-04 -3.1324E-02 -3.1025E-01 -7.4366E-01  4.4318E-01  3.5124E-01 -8.4057E-01
     8         8.9863E-05  1.6810E-01 -4.7088E-01 -5.6812E-01 -3.3173E-01  2.7321E-01  8.0882E-01
     9         1.9486E-06 -2.8243E-01  6.2849E-01 -6.6654E-01  2.0579E-01  8.3073E-01 -2.2932E-02
    10         6.4273E-04  2.4542E-01 -2.7588E-01 -7.0230E-01  9.1660E-01  2.9618E-01 -9.9366E-01
    11         3.8208E-04 -9.0634E-01  5.0205E-01 -1.2874E-01 -5.9540E-02 -6.4051E-01 -1.4342E-01
    12         1.3446E-05 -4.9529E-01  6.5846E-01 -4.8894E-01  1.4592E-01  4.0719E-01 -5.6634E-01
    13         5.8347E-04  9.3004E-02 -6.9427E-01 -6.3775E-01 -3.5052E-01 -7.5350E-01  3.4628E-01
    14         3.8002E-04  9.3001E-01 -5.3463E-01 -9.4710E-01 -8.0930E-01 -4.8108E-01 -3.1708E-01
    15         3.4457E-04 -9.2304E-01 -8.8924E-01 -5.7484E-01  1.4843E-01 -8.5426E-01 -2.9512E-01
    16         5.6501E-04 -6.7015E-01 -6.4515E-02 -3.0778E-01 -5.9980E-01 -1.8075E-01 -2.8562E-01
    17         5.2386E-05 -9.7424E-01 -1.4735E-01  1.1265E-01 -6.2760E-01 -6.2015E-01 -9.0368E-01
    18         6.7585E-04 -7.3165E-01 -7.9167E-01  8.1415E-01  6.6125E-01 -7.6400E-01  1.3794E-01
    19         4.7259E-04  8.6326E-01 -4.2461E-01 -6.7491E-01  7.4652E-01 -1.1250E-01  4.6342E-01
    20         3.0531E-04 -7.8601E-01  4.5461E-02 -7.1308E-01 -7.9759E-01  8.9661E-01  6.2848E-01
    21         2.6586E-04 -4.5177E-01  7.3936E-01 -9.1689E-01  1.0939E-02  5.3664E-01  8.1279E-01
    22         4.4607E-06 -8.9207E-01 -1.3800E-01  3.4937E-01 -7.8437E-01 -2.0679E-01  2.3656E-01
    23         1.1787E-04 -1.5445E-01 -8.0105E-01  1.1984E-01 -4.4889E-03 -8.7677E-02  7.2975E-01
    24         5.7533E-04 -6.0383E-01 -8.9074E-01 -2.5010E-01 -3.9748E-01 -1.3878E-01  7.0730E-01
    25         1.7780E-04  6.1773E-02  5.3212E-01 -5.0019E-01  6.4718E-01 -7.3982E-01  2.1387E-01
    26         4.5652E-04 -9.3766E-01 -6.9438E-01 -9.0779E-01 -8.4325E-01  2.3533E-01 -4.8217E-01
    27         7.4047E-04 -3.4922E-01  5.9172E-01 -2.6871E-01  7.2889E-01 -6.7341E-03 -1.3560E-01
    28         5.5649E-04 -9.7353E-01  5.6599E-01  2.4209E-02 -5.3114E-02  9.9540E-01 -2.3885E-02
    29         3.6389E-04  5.9740E-01 -8.7096E-01 -7.3319E-01 -8.0203E-01 -8.7116E-01 -1.4457E-01
    30         7.1052E-04  2.0786E-01  1.6502E-01 -6.4499E-02 -1.1985E-01  3.4363E-01  4.3223E-01
    31         8.1677E-05 -5.5893E-01 -2.2162E-01  4.5365E-01  2.4535E-01  2.7728E-01 -8.5877E-01
    32         6.3027E-04 -1.2984E-01 -2.5126E-01 -1.3574E-01  2.7263E-01 -5.6164E-01 -6.4451E-01
    33         2.1217E-04 -1.0635E-01  3.1799E-01  1.2571E-01 -8.5642E-01 -3.1322E-01  8.6040E-01
    34         6.8686E-05 -6.3273E-01 -8.6292E-01 -8.0838E-01 -1.3968E-01  4.5210E-01  8.8167E-01
    35         4.6536E-04 -8.6392E-01  4.3952E-01 -8.4609E-01 -3.5358E-02 -6.6574E-01  2.7402E-01
    36         6.7230E-04 -5.8794E-01 -2.5447E-01  4.8582E-01  2.3119E-01  3.9247E-01  2.1865E-01
    37         3.5221E-05 -9.6380E-01 -6.5399E-01 -1.8513E-01 -1.5730E-01  7.1470E-01  8.6891E-01
    38         2.3523E-04  5.0199E-01 -9.9888E-01 -9.1490E-01  2.3008E-01  5.8176E-02  9.6446E-01
    39         9.5759E-05 -1.2567E-01  4.4420E-01 -2.4510E-01  2.3967E-01  6.1890E-01 -9.7344E-01
    40         4.2291E-04 -4.9475E-01 -6.0810E-01  4.0775E-01  2.4807E-01  4.1742E-01  9.7139E-01
    41         4.0564E-04 -8.3340E-01 -1.1500E-01  2.0296E-02  5.4046E-01 -5.8826E-01 -4.7775E-01
    42         2.8410E-04  3.9431E-01  1.4138E-01 -3.3924E-01 -7.6635E-01 -9.9036E-01  6.4638E-01
    43         2.6468E-04 -5.1053E-01  4.9059E-01  2.2322E-02  5.1442E-01  2.3535E-01  1.1940E-01
    44         5.3678E-04  4.2548E-01 -5.9713E-01  2.3710E-01 -6.8467E-01  1.1573E-01  7.3798E-01
    45         6.6848E-04 -7.6376E-01  2.4769E-01  3.4572E-02  2.4945E-01  4.4266E-01  7.4948E-01
    46         5.9042E-04 -5.6617E-01 -2.9241E-01 -7.6037E-01 -6.9547E-01 -9.8379E-01  1.8892E-01
    47         8.4545E-05 -9.9033E-01 -6.5533E-01 -3.9328E-01  7.3982E-01 -4.1243E-01 -3.1878E-01
    48         6.4515E-05 -7.8830E-01 -8.6432E-01 -6.3067E-01 -2.5648E-01  7.9841E-01  2.3186E-02
    49         7.9019E-04 -2.1530E-01  4.6211E-01 -4.0606E-01  9.1668E-01  5.9096E-01  1.0856E-01
    50         6.0019E-04  6.9102E-01 -2.2844E-01 -9.9315E-01 -9.2902E-01 -8.2326E-01  8.9076E-01
    51         3.9189E-04 -9.0496E-01 -9.8140E-01 -1.3065E-01 -3.4429E-01 -5.4829E-01  2.0689E-01
    52         2.3913E-05 -1.6120E-01  1.4298E-01 -6.2520E-01  4.0677E-01  8.9869E-01  2.0764E-01
    53         8.7398E-06  4.9635E-01 -5.3568E-01 -9.0300E-01 -1.4603E-01  3.2054E-01  2.4210E-01
    54         3.1418E-04 -5.3033E-01  7.9642E-01 -9.3992E-01 -1.7498E-01 -1.5005E-01  7.7136E-01
    55         3.0365E-05  5.1033E-01  8.3846E-02 -4.5093E-01 -5.9063E-01 -5.8096E-01 -9.0320E-03
    56         2.9944E-04  2.5521E-01  3.6993E-01 -3.6962E-01  9.3294E-01 -8.7038E-02  8.4308E-01
    57         2.4948E-04 -7.6013E-01  7.1716E-01 -3.9834E-01 -9.1081E-01 -3.3505E-01 -1.9543E-02
    58         8.9056E-06  6.2544E-01  3.9562E-04 -4.3589E-01 -5.0177E-01  1.3485E-01 -3.4584E-01
    59         5.0773E-04  3.8529E-01 -4.6340E-01 -1.1634E-02 -8.5368E-01  1.1297E-01  8.5633E-01
    60         1.4707E-04 -2.3486E-01 -3.8592E-01  6.0098E-01 -5.9786E-01  7.0357E-01 -4.6486E-01
    61         6.6154E-04 -6.0213E-01  3.2475E-01 -7.2239E-01  7.5178E-01 -5.3482E-01 -1.8317E-01
    62         5.1309E-04 -1.2514E-01  1.8566E-01 -9.5455E-01 -9.6718E-01  5.3519E-01  5.1989E-02
    63         2.4367E-04  3.3464E-01 -3.9942E-01 -4.1887E-01  4.0609E-01 -4.8509E-02 -4.9767E-01
    64         3.6827E-04  6.4468E-01 -7.1801E-01 -3.3784E-02  9.3368E-01  6.4125E-01 -8.0728E-01
    65         5.7060E-04 -7.5846E-01 -4.4017E-01  4.5921E-01 -2.4681E-01 -9.3056E-01 -1.4578E-01
    66         3.1979E-04 -3.0965E-01  5.3646E-01 -8.9565E-01  5.2198E-01  1.0786E-01 -9.6012E-02
    67         6.3869E-04  3.3570E-01  2.4110E-01 -7.1447E-01  2.5269E-01  1.4788E-01 -5.8712E-01
    68         2.2105E-04  1.5987E-01 -4.1012E-01  3.9433E-01 -8.8092E-01  4.5616E-02 -3.7817E-01
    69         2.7333E-05 -9.2018E-01  4.0101E-01  3.7989E-01 -7.3931E-01 -9.8735E-01 -2.9065E-01
    70         5.5964E-04  5.6430E-01 -1.2741E-01 -9.0551E-01 -7.1471E-01  7.6745E-01 -6.5983E-01
    71         4.8984E-04 -9.5221E-02 -2.5405E-01 -7.7255E-01  6.5730E-01 -9.1589E-01  8.4901E-01
    72         7.5375E-04  4.8521E-01 -5.7074E-01 -7.9800E-01  4.8128E-01  4.8204E-01 -7.9010E-01
    73         2.0151E-04 -2.7843E-01  2.0586E-01 -6.8158E-01  3.1550E-02  2.0813E-01  3.5875E-03
    74         3.4706E-04 -7.7165E-02  7.2315E-01 -8.9642E-01  7.0202E-01  9.0009E-01 -1.6553E-01
    75         5.8349E-04  9.1758E-01 -4.6069E-01 -8.3104E-01 -9.3824E-01 -9.6150E-01  9.5280E-01
    76         4.1376E-04 -5.9022E-01 -3.4949E-01  6.3599E-01  5.8191E-01 -8.8855E-01  1.4136E-01
    77         2.9780E-04  2.0934E-01 -5.5545E-01 -4.2665E-01 -8.7779E-01 -7.9098E-02  9.6374E-01
    78         2.3284E-04 -1.4688E-01 -4.2063E-01  2.6298E-01  6.0658E-01  9.2719E-01 -3.0145E-01
    79         4.1983E-04  6.6836E-01 -3.1371E-01 -6.6325E-01 -9.8900E-01 -3.5662E-01  9.4834E-01
    80         4.2652E-04 -2.4216E-01 -3.5868E-01 -9.9515E-01 -5.9391E-01  5.2920E-01 -6.6096E-01
    81         7.0190E-04  7.2435E-01 -1.3293E-01 -6.4468E-01 -1.1516E-01  6.8046E-01 -5.0001E-01
    82         2.1952E-05 -6.4389E-01  5.8686E-01 -4.2703E-01  9.0980E-01 -1.9044E-01 -1.7854E-01
    83         2.3367E-04  7.1737E-01 -5.6702E-02 -8.4917E-01  8.3226E-01  8.1365E-01 -9.2820E-01
    84         3.9676E-04  7.3865E-01 -7.4859E-01 -8.5598E-01 -8.8901E-01 -9.7865E-01  9.6224E-01
    85         1.5633E-04  1.5987E-01  5.7202E-01 -7.3055E-01  9.1682E-01  7.4868E-01 -8.2135E-02
    86         3.3820E-04  5.3885E-01 -8.5546E-01 -8.3693E-01 -3.1228E-01  6.6481E-01  6.9041E-01
    87         5.5059E-04  8.7605E-01 -3.1427E-01 -9.3932E-01  2.5211E-01  8.7831E-01 -9.6978E-01
    88         3.5185E-04  2.1655E-01 -5.6582E-02 -2.1706E-01 -4.3387E-01  4.2166E-01  5.5896E-01
    89         5.3010E-04 -7.1109E-01 -3.7733E-01  9.9920E-03 -8.6739E-01 -1.9194E-01  9.3969E-01
    90         2.7043E-04 -8.5164E-01  8.5007E-01 -5.2102E-01  1.0860E-01  8.8638E-01  7.9175E-01
    91         6.3708E-04 -4.2292E-02 -9.3145E-01  4.5079E-01  9.0119E-01  1.1854E-01  8.3352E-01
    92         7.4804E-04 -2.1518E-01  5.2533E-01 -3.4102E-01 -2.4556E-01  7.9270E-01 -4.2798E-01
    93         5.1066E-05  3.8440E-02  3.0867E-02 -5.5947E-01  9.1825E-01 -7.3779E-01 -7.3625E-01
    94         2.9460E-04 -4.0806E-01  2.4473E-01  2.5980E-01 -8.0403E-02  7.3076E-01  7.0171E-01
    95         3.5726E-04 -3.6853E-01  2.1460E-01 -2.5392E-01  9.4762E-01  5.4919E-01  5.9365E-01
    96         5.9902E-04  1.9337E-01 -8.0007E-01  2.2866E-01  9.9406E-01 -5.5451E-01  1.4398E-01
    97         4.2537E-04 -5.0496E-01  4.4997E-01  1.0346E-01  4.1834E-01  1.0918E-01 -2.6223E-02
    98         8.9674E-05  4.2241E-02  5.6805E-02 -8.8210E-01  1.3158E-01 -3.3998E-01 -8.2415E-01
    99         7.0390E-04 -3.3242E-01  6.8995E-01 -3.6474E-01  3.5493E-01 -8.4671E-02 -6.9923E-01
   100         1.6961E-04 -8.6988E-02  6.7680E-01 -4.2967E-01 -1.5456E-01 -3.7792E-01  7.5758E-01
   101         7.2384E-04 -6.1308E-02 -2.1399E-01 -8.7168E-01 -9.3710E-01  5.6549E-01  1.8717E-01
   102         5.6414E-04  3.2991E-01 -1.3474E-01 -5.3615E-01 -3.0458E-01  2.2636E-01 -6.2467E-01
   103         7.6709E-04 -2.5764E-01 -5.0812E-01 -3.4854E-02 -6.3026E-01 -9.9638E-01 -6.8669E-01
   104         3.8600E-04 -7.4815E-01 -4.4630E-01  6.0979E-01  5.2499E-01  7.7187E-01 -1.0489E-01
   105         1.7899E-04 -3.7974E-01  4.9120E-01  7.2906E-02  7.2959E-01  7.2049E-01  8.5185E-01
   106         2.4194E-04 -9.4146E-01 -6.7266E-01  8.6139E-01 -9.8217E-01 -3.1043E-01  9.9073E-01
   107         7.6317E-04 -5.9831E-02  4.3243E-01 -6.1228E-01  5.1401E-01  6.0748E-01 -6.9442E-01
   108         4.2559E-04  1.2269E-01 -7.3000E-01 -8.3885E-01  7.6693E-01  7.3872E-01  4.1467E-01
   109         1.6734E-04  1.5722E-01 -3.2526E-01  4.4742E-01 -5.7884E-02 -6.6747E-01 -1.8937E-01
   110         5.8262E-05  4.5521E-01  2.1362E-01 -8.1483E-01 -9.1300E-01  1.6519E-01  9.0939E-01
   111         7.0419E-04 -4.0783E-01 -5.0340E-01  4.2095E-01 -9.3971E-01  3.2322E-01  9.0207E-01
   112         7.3225E-04 -8.9603E-01  6.7354E-01 -8.7831E-01  7.0151E-01 -7.0088E-01  9.3800E-01
   113         2.8633E-04 -4.0085E-01 -4.1380E-01  1.3289E-01 -4.4105E-01 -1.2913E-01  8.9016E-01
   114         7.7351E-04 -5.8983E-01 -9.6966E-01  8.8750E-01  5.7188E-01  5.3759E-01 -3.2165E-01
   115         6.4156E-04  8.2677E-01 -3.7227E-01 -4.8176E-01 -8.2863E-01 -8.1826E-01  2.9198E-01
   116         7.6041E-04 -5.5842E-01  6.3168E-01 -3.7121E-01  4.2964E-01  7.8269E-01 -5.4823E-01
   117         4.9560E-04 -7.7501E-01  3.2484E-01 -5.9816E-04 -3.6271E-01  7.4209E-03 -3.5981E-01
   118         6.3201E-06 -4.0191E-01 -1.3525E-01  6.3179E-01  1.7033E-01 -1.1133E-01 -1.5431E-01
   119         6.8783E-04 -3.9936E-01 -2.1776E-01  6.3023E-02  9.6386E-01 -3.0401E-01 -7.2094E-01
   120         5.6428E-04  1.3583E-01 -8.7904E-01  5.7223E-01 -8.4150E-03 -8.0209E-01 -3.3072E-01
   121         2.8669E-04  3.8209E-01  3.4658E-01 -7.2458E-01 -7.5847E-01  1.9978E-02  7.3395E-01
   122         3.5575E-04 -6.9898E-01 -1.5937E-01 -9.3276E-01 -9.2684E-01 -4.1480E-01  1.9583E-01
   123         7.7720E-04  8.6573E-01 -7.4775E-01 -6.6540E-01 -2.9677E-01 -7.9980E-01 -4.0490E-01
