   1.00000005E-03
  0.100000001    
   100.000000    
                  500
47.06     10.254     16.191     54.047     -0.100      0.678      0.623
52.06    -26.605     52.249    -37.336      0.556      0.918      0.290
74.21     47.102     54.834    -13.901      0.649      0.139     -0.106
29.11     87.986     -6.022     14.804      0.563      0.101      0.159
61.62    -38.031     12.588      5.969      0.238      0.043     -0.179
72.78     76.537    -23.197     58.182     -0.125     -0.080     -0.306
51.71     -3.389     27.338     45.239      0.246     -0.016     -0.017
83.50    -11.177     -2.246     -4.730     -0.031     -0.217     -0.050
69.33     -8.360     17.552     33.478     -0.040      0.094     -0.151
33.60     49.704    -14.236     66.617      0.619     -0.030     -0.013
21.91    -33.778      5.104      3.070     -0.250     -0.162     -0.433
76.89     49.278     42.485     35.988      0.331     -0.076     -0.036
40.55    -46.293     -3.308    -25.053     -0.061      0.065      0.756
 0.59     63.460     -0.387     60.059      0.105     -0.038      0.315
54.12    -10.184     66.234    -33.499     -0.083      0.116     -0.012
87.36    -20.922     36.923    -35.220      0.792      0.432     -0.072
68.91    -13.790     -6.944     -9.555     -0.128     -0.195      0.541
97.87     48.205     66.234      1.335      0.037      0.353     -0.200
51.60    -29.690     -9.897     68.906     -0.025     -0.034     -0.282
27.36     -0.099     -9.365     67.352      0.029      0.697      0.525
44.80     -5.682     30.478    -24.715      0.574      0.901      0.293
51.21     -8.536    -10.777     -6.502     -0.021     -0.324     -0.027
49.62     28.363    -16.923     -3.409      0.581     -0.006     -0.100
34.56    -20.391    -21.945     77.583      0.747      0.307      0.245
88.61    -11.229     73.356     42.129     -0.004      0.147     -0.000
41.30     88.963     -2.950     21.099      0.516      0.706     -0.136
33.87      7.364     51.074    -28.826      0.221      0.406      0.690
76.50    -29.748     -1.158    -16.543      0.230      0.008     -0.296
87.64     -1.135     55.365      8.428      0.327     -0.021     -0.005
66.11     -7.747     -6.983     18.597     -0.110     -0.147     -0.233
71.34    -19.891     11.029     66.412     -0.432      0.008      0.513
77.78     71.094     60.599    -46.276      0.723     -0.107      0.414
74.53     -3.188      1.979     -3.790     -0.002     -0.071     -0.112
50.75    -24.423     42.059     -0.882      0.031     -0.031     -0.059
53.98    -35.593     -5.795     13.137     -0.125     -0.038      0.015
14.92    -19.954     85.997     -5.884     -0.196      0.554     -0.153
15.06     -5.973     16.109     -8.413     -0.126     -0.212     -0.142
22.09     11.703     -2.690     -0.263     -0.289      0.338      0.659
43.24     57.600     50.238     55.849      0.099     -0.022      0.045
85.78     -2.355     -6.235     75.662      0.450      0.305      0.232
83.56    -20.518     -7.994    -14.762     -0.010     -0.188     -0.172
56.28     24.818     -4.428     -1.088      0.661      0.066      0.054
19.68     18.331     11.553     77.383     -0.277      0.352      0.144
 3.91     -7.794      6.005     -1.134     -0.172     -0.074      0.320
70.13     45.373     81.309    -39.508     -0.139      0.536      0.729
91.71     22.536     41.005     83.040     -0.136      0.394     -0.087
46.91    -15.624      4.156     19.564     -0.154      0.046      0.096
