    0.038608    0.038608    0.038608
    4.992279    4.992279    4.992279
    0.155904    0.155904    0.155904
    4.968820    4.968820    4.968820
    0.356633    0.356633    0.356633
    4.928675    4.928675    4.928675
    0.649992    0.649992    0.649992
    4.870003    4.870003    4.870003
    1.052506    1.052506    1.052506
    4.789501    4.789501    4.789501
    1.595479    1.595479    1.595479
    4.680907    4.680907    4.680907
    2.350215    2.350215    2.350215
    4.529960    4.529960    4.529960
    3.616110    3.616110    3.616110
    4.276781    4.276781    4.276781
  -58.608593  -58.608593  -58.608593
   16.721720   16.721720   16.721720
 -137.127274 -137.127274 -137.127274
   32.425457   32.425457   32.425457
